"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"11/05/2023","2.984,47","2.976,38","2.988,17","2.952,56","","0,26%"
"10/05/2023","2.976,68","2.951,73","2.982,84","2.948,78","","0,81%"
"09/05/2023","2.952,62","2.933,02","2.960,69","2.922,84","","0,72%"
"08/05/2023","2.931,44","2.961,54","2.973,49","2.927,87","","-1,02%"
"05/05/2023","2.961,54","2.943,71","2.978,14","2.928,90","","0,60%"
"04/05/2023","2.944,01","2.938,12","2.952,78","2.914,39","","0,21%"
"03/05/2023","2.937,70","2.916,15","2.946,96","2.905,20","","0,74%"
"02/05/2023","2.916,15","2.939,00","2.948,01","2.908,59","","-0,78%"
"01/05/2023","2.939,00","2.939,94","2.939,94","2.938,82","","-0,02%"
"28/04/2023","2.939,47","2.952,93","2.952,93","2.920,73","","-0,46%"
"27/04/2023","2.952,93","2.939,54","2.958,04","2.910,80","","0,45%"
"26/04/2023","2.939,78","2.935,24","2.953,04","2.921,88","","0,06%"
"25/04/2023","2.938,15","2.947,13","2.950,42","2.918,22","","-0,29%"
"24/04/2023","2.946,55","2.939,02","2.947,54","2.917,24","","0,27%"
"21/04/2023","2.938,56","2.938,56","2.939,14","2.938,56","","0,00%"
"20/04/2023","2.938,56","2.923,39","2.946,55","2.917,24","","0,52%"
"19/04/2023","2.923,27","2.976,87","2.976,87","2.915,52","","-1,71%"
"18/04/2023","2.974,13","2.991,82","3.022,16","2.969,19","","-0,55%"
"17/04/2023","2.990,61","2.999,57","3.017,84","2.981,99","","-0,06%"
"14/04/2023","2.992,45","2.992,19","3.003,33","2.959,12","","-0,01%"
"13/04/2023","2.992,86","3.012,32","3.015,37","2.985,17","","-1,01%"
"12/04/2023","3.023,50","2.971,51","3.025,96","2.963,50","","1,74%"
"11/04/2023","2.971,80","2.940,28","2.982,52","2.933,57","","1,06%"
"10/04/2023","2.940,75","2.948,50","2.957,50","2.924,53","","-0,26%"
"07/04/2023","2.948,50","2.946,47","2.948,50","2.946,47","","0,06%"
"06/04/2023","2.946,82","2.963,26","2.972,49","2.932,73","","-0,55%"
"05/04/2023","2.963,26","2.937,06","2.974,13","2.936,07","","0,93%"
"04/04/2023","2.936,07","2.954,12","2.955,35","2.920,07","","-0,62%"
"03/04/2023","2.954,36","2.958,14","2.970,13","2.943,43","","-0,20%"
"31/03/2023","2.960,23","2.952,78","2.965,09","2.933,18","","0,23%"
"30/03/2023","2.953,30","2.931,56","2.965,82","2.914,96","","0,76%"
"29/03/2023","2.931,04","2.919,38","2.937,39","2.904,42","","0,41%"
"28/03/2023","2.919,09","2.915,04","2.930,04","2.897,73","","0,15%"
"27/03/2023","2.914,76","2.893,19","2.918,13","2.885,40","","0,95%"
"24/03/2023","2.887,47","2.895,54","2.895,54","2.835,70","","-0,23%"
"23/03/2023","2.894,18","2.928,93","2.948,41","2.893,19","","-1,12%"
"22/03/2023","2.927,03","2.924,63","2.947,34","2.904,97","","0,08%"
"21/03/2023","2.924,63","2.931,85","2.942,53","2.918,68","","-0,25%"
"20/03/2023","2.931,85","2.907,29","2.936,00","2.904,84","","0,91%"
"17/03/2023","2.905,30","2.939,66","2.940,73","2.901,84","","-1,14%"
"16/03/2023","2.938,93","2.904,20","2.943,94","2.894,12","","1,22%"
"15/03/2023","2.903,65","2.927,07","2.927,07","2.882,07","","-0,76%"
"14/03/2023","2.926,01","2.927,00","2.945,40","2.922,01","","-0,01%"
"13/03/2023","2.926,22","2.960,17","2.960,17","2.906,83","","-1,15%"
"10/03/2023","2.960,17","2.994,87","2.997,92","2.957,62","","-0,84%"
"09/03/2023","2.985,19","2.998,27","3.017,61","2.981,61","","-0,44%"
"08/03/2023","2.998,27","2.955,68","3.025,02","2.954,72","","1,44%"
"07/03/2023","2.955,68","2.966,40","2.980,95","2.947,28","","-0,36%"
"06/03/2023","2.966,40","2.946,44","2.967,72","2.930,07","","0,78%"
"03/03/2023","2.943,55","2.936,60","2.950,99","2.923,92","","0,24%"
"02/03/2023","2.936,60","2.940,21","2.950,25","2.920,87","","-0,12%"
"01/03/2023","2.940,21","2.910,91","2.943,05","2.905,94","","1,01%"
"28/02/2023","2.910,91","2.934,62","2.943,22","2.902,59","","-0,81%"
"27/02/2023","2.934,62","2.927,46","2.951,75","2.922,66","","0,48%"
"24/02/2023","2.920,74","2.955,26","2.963,40","2.918,56","","-1,17%"
"23/02/2023","2.955,26","2.949,62","2.971,80","2.933,45","","0,19%"
"22/02/2023","2.949,62","2.937,99","2.950,14","2.915,17","","0,40%"
"21/02/2023","2.937,99","2.932,24","2.940,38","2.931,27","","0,20%"
"20/02/2023","2.932,24","2.940,95","2.940,95","2.931,27","","-0,30%"
"17/02/2023","2.940,95","2.903,82","2.951,34","2.892,70","","1,28%"
"16/02/2023","2.903,82","2.911,88","2.915,72","2.880,42","","-0,28%"
"15/02/2023","2.911,88","2.918,24","2.928,71","2.899,93","","-0,22%"
"14/02/2023","2.918,24","2.943,51","2.954,88","2.897,59","","-0,86%"
"13/02/2023","2.943,51","2.906,39","2.945,28","2.905,18","","1,48%"
"10/02/2023","2.900,63","2.851,47","2.904,31","2.849,23","","1,72%"
"09/02/2023","2.851,47","2.901,94","2.917,13","2.850,56","","-1,74%"
"08/02/2023","2.901,94","2.905,34","2.921,93","2.877,10","","-0,12%"
"07/02/2023","2.905,34","2.940,32","2.949,43","2.900,99","","-0,63%"
"06/02/2023","2.923,81","2.911,10","2.927,33","2.886,40","","1,18%"
"03/02/2023","2.889,75","2.944,73","2.953,64","2.886,11","","-1,87%"
"02/02/2023","2.944,73","2.961,01","3.010,65","2.935,30","","-0,55%"
"01/02/2023","2.961,01","2.954,28","2.968,29","2.927,26","","0,26%"
"31/01/2023","2.953,29","2.924,51","2.954,86","2.913,90","","0,98%"
"30/01/2023","2.924,51","2.927,71","2.943,78","2.914,43","","-0,24%"
"27/01/2023","2.931,62","2.949,59","2.962,23","2.926,92","","-0,61%"
"26/01/2023","2.949,59","2.948,42","2.953,97","2.918,38","","0,04%"
"25/01/2023","2.948,42","2.895,80","2.951,45","2.895,80","","1,82%"
"24/01/2023","2.895,80","2.893,35","2.898,51","2.850,60","","0,08%"
"23/01/2023","2.893,35","2.893,40","2.918,39","2.885,87","","0,00%"
"20/01/2023","2.893,40","2.917,82","2.927,48","2.875,41","","-0,84%"
"19/01/2023","2.917,82","2.908,06","2.923,92","2.872,31","","0,34%"
"18/01/2023","2.908,06","2.971,85","2.977,73","2.906,27","","-2,15%"
"17/01/2023","2.971,85","2.932,95","2.974,71","2.916,44","","1,73%"
"16/01/2023","2.921,30","2.970,43","2.970,43","2.912,81","","-1,66%"
"13/01/2023","2.970,61","2.975,03","2.981,43","2.936,38","","-1,03%"
"12/01/2023","3.001,64","2.999,71","3.025,21","2.956,45","","0,06%"
"11/01/2023","2.999,71","2.994,12","3.000,29","2.956,91","","0,19%"
"10/01/2023","2.994,12","2.960,65","2.995,27","2.950,15","","1,10%"
"09/01/2023","2.961,60","2.977,19","2.981,02","2.931,15","","-0,97%"
"06/01/2023","2.990,59","2.915,79","2.994,77","2.910,34","","2,57%"
"05/01/2023","2.915,79","2.866,45","2.917,91","2.860,93","","1,62%"
"04/01/2023","2.869,21","2.845,70","2.872,49","2.841,14","","0,83%"
"03/01/2023","2.845,70","2.902,52","2.920,41","2.845,44","","-1,96%"
"02/01/2023","2.902,52","2.927,94","2.947,23","2.900,90","","-1,41%"
"30/12/2022","2.944,01","2.957,25","2.965,77","2.939,29","","-0,58%"
"29/12/2022","2.961,04","2.979,98","3.016,32","2.950,71","","-0,64%"
"28/12/2022","2.979,98","2.957,12","3.003,63","2.946,73","","0,74%"
"27/12/2022","2.958,07","2.994,65","3.014,44","2.952,82","","-1,22%"
"26/12/2022","2.994,65","3.016,58","3.031,36","2.992,93","","-0,76%"
"23/12/2022","3.017,69","3.015,00","3.046,71","3.009,65","","0,09%"
"22/12/2022","3.015,00","2.996,19","3.019,73","2.981,82","","0,63%"
"21/12/2022","2.996,19","2.997,73","3.020,70","2.984,72","","-0,12%"
"20/12/2022","2.999,65","2.945,84","3.013,68","2.928,86","","1,83%"
"19/12/2022","2.945,84","2.935,09","2.948,35","2.919,76","","0,40%"
"16/12/2022","2.934,15","2.939,68","2.963,14","2.923,92","","-0,16%"
"15/12/2022","2.938,74","2.952,82","2.962,29","2.919,24","","-0,48%"
"14/12/2022","2.952,82","2.937,12","2.955,84","2.901,17","","-0,14%"
"13/12/2022","2.956,95","2.935,04","2.986,06","2.933,52","","0,75%"
"12/12/2022","2.935,04","2.974,68","2.986,83","2.919,14","","-1,28%"
"09/12/2022","2.973,15","2.988,73","2.988,73","2.948,34","","-0,52%"
"08/12/2022","2.988,73","3.003,38","3.008,88","2.973,20","","-0,49%"
"07/12/2022","3.003,38","2.979,26","3.015,43","2.961,29","","0,71%"
"06/12/2022","2.982,12","2.928,20","2.992,07","2.928,20","","1,84%"
"05/12/2022","2.928,20","2.940,67","2.970,04","2.922,39","","-0,91%"
"02/12/2022","2.955,04","3.000,56","3.014,06","2.942,58","","-1,52%"
"01/12/2022","3.000,56","3.033,17","3.033,17","2.981,70","","-1,08%"
"30/11/2022","3.033,17","2.986,43","3.040,49","2.956,77","","1,57%"
"29/11/2022","2.986,43","2.929,39","2.986,72","2.923,80","","1,95%"
